family_hypothesis_id,seed_recovery_id,seed_graphic_key,seed_surface_forms,seed_de_rar_headwords,seed_occurrence_count,neighbor_count,neighbor_graphic_keys,human_reviewed
RHD-GFAM-00014,RHD-RREC-000002,loguiameke,Loguiameke,Raſen | Unſinnig | Wahnſinnig | Wüthig,4,56,cuguiameke | ogueameke | loguijameke | lesiameke | lessiameke | igueameke | ogajameke | peguameke | reguameke | schuguiameke | schugiameke | bassiameke | mukiameke | nalsiameke | nassiameke | pahiameke | sakiameke | samiameke | satiameke | seliameke | simiameke | sriameke | veniameke | bucuameke | coajameke | culuameke | guelameke | honeameke | mujameke | mukuameke | thulameke | ta schuguiameke | bassatiameke | galatsaneliameke | ganeliameke | ibe motschiameke | mukiiatiameke | ta mukilatiameke | tele uliameke | tschitschiameke | tschutscheliameke | ajonameke | bajeameke | culeameke | cuneameke | haagameke | humeameke | logui | saaeameke | sapeameke | stacameke | tameke | uelameke | upeameke | meke | temeke,False
RHD-GFAM-00015,RHD-RREC-000037,nalsiameke,Nalſiameke,Sorglos | Trag,2,55,nassiameke | bassiameke | lesiameke | lessiameke | pahiameke | sakiameke | samiameke | satiameke | seliameke | bassatiameke | ganeliameke | cuguiameke | loguiameke | mukiameke | simiameke | sriameke | veniameke | ajonameke | bajeameke | culeameke | culuameke | haagameke | saaeameke | sapeameke | uelameke | galatsaneliameke | ibe motschiameke | mukiiatiameke | schugiameke | schuguiameke | ta mukilatiameke | ta schuguiameke | tele uliameke | tschitschiameke | tschutscheliameke | bucuameke | coajameke | cuneameke | guelameke | honeameke | humeameke | igueameke | mujameke | mukuameke | nalsinaja | ogajameke | ogueameke | peguameke | reguameke | stacameke | tameke | thulameke | upeameke | meke | temeke,False
RHD-GFAM-00016,RHD-RREC-000010,schuguiameke,Schuguiameke | ſchuguiameke,Todtſeyn | Verzehren | Verſtorben,3,50,schugiameke | cuguiameke | ta schuguiameke | tschucuameke | loguiameke | culuameke | schugui | bassiameke | ganeliameke | lesiameke | lessiameke | mukiameke | nalsiameke | nassiameke | pahiameke | sakiameke | samiameke | satiameke | schugua | seliameke | simiameke | sriameke | veniameke | ajonameke | bajeameke | bucuameke | coajameke | culeameke | cuneameke | guelameke | haagameke | honeameke | humeameke | igueameke | mujameke | mukuameke | ogajameke | ogueameke | peguameke | reguameke | saaeameke | sapeameke | stacameke | tameke | thulameke | uelameke | upeameke | meke | schula | temeke,False
RHD-GFAM-00017,RHD-RREC-000024,paca,Páca,Kraut | Stroh,2,37,sapaca | uipaca | baca | laca | paa | para | peraca | acaca | ataca | elaca | guaca | kiaca | baica | taica | racha | kacac | hoca | oca | pahi | pali | s-ca | teca | bala | gala | haa | lala | maga | maha | naja | napa | poa | pua | rana | tala | tana | tara | rachpe sapaca,False
RHD-GFAM-00018,RHD-RREC-000025,tschitula,Tſchitúla,Kreis | Umkreis,2,36,tschitsula | tschicula | tschirula | tschiculi | tschitulameke | tschimoli | tschinaca | tschipu | tschipusi | tschuta | tschitschi | tschie | tschigo | tschini | tschiri | tschivi | sutula | tscha | tschaa | tschaca | tschucu | tschitschiameke | tschitschigua | tschitschimoco | tschichi pilaca | tschichpiopa | tschichpipoa | tschicoliki | tschicotschi | tschiperameke | tschipugameke | tschirulameke | tschivavoli | tschapi | tschepi | tschoche,False
RHD-GFAM-00019,RHD-RREC-000021,pepuliki,pepuliki,Fleiſch,2,30,kepaliki | pemoliki | muliki | bealiki | jelaliki | keliki | pataliki | pavoliki | temaliki | cauguliki | pauvoliki | caliki | kioliki | noliki | taliki | taraliki | ganileliki | hosseliki | jejegaliki | jumagaliki | jumagualiki | naguo pamivaliki | pamivaliki | pichicoliki | racheliki | raugueliki | sineyi pamivaliki | tsainajoliki | tsainijoliki | tschicoliki,False
RHD-GFAM-00020,RHD-RREC-000020,naja,Najá | naja,Lang | Sonſt,2,28,najasi | napa | nacoja | nagua | muja | nape | baca | bala | gala | haa | laca | lala | maga | maha | nola | nula | paa | paca | para | rana | tala | tana | tara | baje | raje | taje | nalsinaja | nassinaja,False
RHD-GFAM-00021,RHD-RREC-000003,tschutscha,Tſchutſchá | Tſchutſchä,Einſalben | Einſchmieren | Salben | Schmieren,4,27,tschutschi | tschutschu | tscha | tschitschi | tschotschona | tschutschelila | tschuta | echtscha | mutscha | putscha | tschucu | tschucucu | tschumila | tschaca | tschoche | tschutscheliameke | tschutarugameke | pitscha | tschaa | tschapi | tschepi | tschie | tschigo | tschini | tschipu | tschiri | tschivi,False
RHD-GFAM-00022,RHD-RREC-000008,buila,Buila,Schlinge | Strang | Strick,3,25,suila | uila | aguila | bula | mukila | guilma | ekila | upila | bala | balla | batla | bura | guala | hula | mula | nula | baica | uili | cuguila | hoguila | cauguila | jauguila | pauguila | cato guila | tschorike pauguila,False
RHD-GFAM-00023,RHD-RREC-000014,tutschi,Tutſchi,Zerquetſchen | Zerreiben | Zerſtoßen,3,24,totschi | atschi | cotschi | matschi | motschi | netschi | potschi | mutscha | putscha | putsche | tschutschi | cajutschi | vassutschi | tschitschi | cajatschi | cocotschi | cojatschi | colatschi | tutschirugameke | bacalatschi | cambolatschi | passatschi | tschicotschi | vassuritschi,False
RHD-GFAM-00024,RHD-RREC-000027,cajutschi,Cajútschi,Pferd | Roß,2,20,cajatschi | cojatschi | vassutschi | tutschi | atschi | cocotschi | colatschi | cotschi | matschi | bacalatschi | tschutschi | passatschi | motschi | netschi | potschi | totschi | cambolatschi | tschicotschi | tschitschi | vassuritschi,False
RHD-GFAM-00025,RHD-RREC-000015,jumagualiki,Jumaguáliki,Faſttag | Feſttag,2,18,jumagaliki | jumagua | bealiki | caliki | jelaliki | kepaliki | pataliki | taliki | taraliki | temaliki | juma | keliki | kioliki | muliki | noliki | pavoliki | pemoliki | pepuliki,False
RHD-GFAM-00026,RHD-RREC-000007,tsainajoliki,Tſainajolíki | Tſainájoliki | Tſainájolíki,Miſſethat | Schuld | Verbrechen,3,17,tsainijoliki | kioliki | noliki | pauvoliki | pavoliki | pemoliki | bealiki | caliki | jelaliki | keliki | kepaliki | muliki | pataliki | pepuliki | taliki | taraliki | temaliki,False
RHD-GFAM-00027,RHD-RREC-000046,batla,Batlá,Vor | Voraus,2,16,batsa | bala | balla | tatela | notla | baca | baica | bassa | buila | bula | gala | lala | tala | katlo | tatlo | batla ne nagua,False
RHD-GFAM-00028,RHD-RREC-000018,pigue,Pigué,Beichten | Bekennen,2,15,igue | pugue | opirue | puguee | cugue | gue | ogue | regue | pile | pegua | igua | naligue | piguaca | piguelila | ta ne pigue,False
RHD-GFAM-00029,RHD-RREC-000047,teeke,Teéke,Klippe | Stein,2,14,temeke | teeje | tegueke | tameke | telebe | eke | gueke | keke | meke | teea | teeja | euke | tele | tsele,False
RHD-GFAM-00030,RHD-RREC-000011,jeki,Jeki | Jekí,Begeben | Ereignen | Geſchehen,3,13,eki | jiki | juki | iki | jeje | jela | muki | noki | juku | seli | eke | keke | meke,False
RHD-GFAM-00031,RHD-RREC-000009,naguessa,Nagueſſá,Andeuten | Ankündigen | Melden,3,13,naguesla | naguossa | guessa | naguella | naguossani | ossanaguessa | naguossaeki | nagua | naguosani | naguoco | kimacoessa | naguabahi | naguo pamivaliki,False
RHD-GFAM-00032,RHD-RREC-000022,nulalila,Nulálila,Befehl | Gebot,2,12,nulalilla | sulelila | nula | pilila | macoek nulalila | macoeke nulalila | atschilelila | matschirujelila | pignelila | piguelila | tehoje muki tschapirujelila | tschutschelila,False
RHD-GFAM-00033,RHD-RREC-000030,tessiguala,Teſſiguala | Teſſiguála,Kummer | Schmerz,2,12,telsiguala | tselsiguala | tessigua | tessiguati | soiguala | coiguala | reguala | reteguala | tessiguajameke | guala | halaguala | r-guala,False
RHD-GFAM-00034,RHD-RREC-000026,cunala,Cunála,Ehemann | Gemahl,2,10,cuna | cuvala | cugnila | guala | mujala | sulala | ulala | canapa | runana | tschotschonala,False
RHD-GFAM-00035,RHD-RREC-000039,hoco,Hóco,Bohren | Graben,2,10,hoca | roco | soco | toco | hoje | colo | como | nono | poio | oca,False
RHD-GFAM-00036,RHD-RREC-000036,nachpisoco,Nachpiſóco,Aſche | Staub,2,10,nachpiloco | guechpisoco | nachpigua | nachpigualeke | nachpiguamela | guitsoco | nachcala | nachki | nachkibi | soco,False
RHD-GFAM-00037,RHD-RREC-000019,piguelila,Piguelilá,Beichte | Bekenntniß,2,10,pignelila | pilila | pigue | sulelila | piguaca | atschilelila | matschirujelila | tehoje muki tschapirujelila | tschutschelila | nulalila,False
RHD-GFAM-00038,RHD-RREC-000005,cauguiki,Cauguiki | Caugúiki | cauguiki,Einöde | Wald | Wüſte,3,9,cauguliki | pauguiki | sauguiki | cauguila | cauguilu | mahaguiki | guiki | reguiguiki | eratschic guiki,False
RHD-GFAM-00039,RHD-RREC-000001,tseti,Tſeti | Tſetí | tſetí,Bös | Laſter | Laſterhaft | Uebel | Unrecht,5,8,tleti | tseli | tsele | tsani | seli | tsetijola | tsetijolajameke | tsetijolameke,False
RHD-GFAM-00040,RHD-RREC-000042,sopoli,Sopoli | Sopóli,Geſtirn | Stern,2,7,sapoli | tepoli | cocoli | sevoli | toroli | totoli | tselisapoli,False
RHD-GFAM-00041,RHD-RREC-000012,tessiguati,Teſſiguati,Arm | Kraftlos | Verunglückt,3,7,teisiguati | telsiguati | tselsiguati | tessigua | tessiguala | telsivuati | tessiguajameke,False
RHD-GFAM-00042,RHD-RREC-000032,cassiniki,Caſſiniki | Caſſiníki,Scherben | Zerbrechen,2,6,gassiniki | caisiniki | cassini | puaniki | pujaniki | pulaniki,False
RHD-GFAM-00043,RHD-RREC-000045,pemole,Pemolé,Dunſt | Dünſten,2,5,peimole | mole | pole | pejote | pemoliki,False
RHD-GFAM-00044,RHD-RREC-000040,simiba,Simiba | ſimíba,Gehen | Zügen,2,5,simibe | simi | simigo | cugue simiba | simiameke,False
RHD-GFAM-00045,RHD-RREC-000013,tajenaba,Tajenaba | Tajénaba | tajenába,Hell | Licht | Morgen,3,4,tajena | cajenapa | tajenasago | taje,False
RHD-GFAM-00046,RHD-RREC-000041,tapaco,Tapáco,Geſtern | Morgen,2,3,tapeco | tabano | sapaca,False
RHD-GFAM-00047,RHD-RREC-000038,tepigaca,Tepigacá | Tepigáca,Meſſer | Schermeſſer,2,1,tepulaca,False
